#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
Keitaro_opinion_demanded_favor_money;Asked me money;M'a demandé de l'argent;;;;;;;;;;;x
Keitaro_opinion_declined_favor_money;Refused to give me money;A refusé de me donner de l'argent;;;;;;;;;;;;x
Keitaro_opinion_greedy_gave_less_favor_money;Gave me less money;M'a donné moins d'argent;;;;;;;;;;;;x
Keitaro_opinion_charitable_gave_more_favor_money;Gave me more money;M'a donné plus d'argent;;;;;;;;;;;;x
Keitaro_opinion_fomented_a_rebellion_in_my_realm;Fomented a Rebellion in my Realm;Fomenté une rebellion sur mes terres;;;;;;;;;;;;x
Keitaro_opinion_pillaged_my_lands;Pillaged my Lands;Pillé mes terres;;;;;;;;;;;;x
Keitaro_opinion_granted_a_crusade_kingdom;Granted a Crusade Kingdom;Accordé un royaume de Croisade;;;;;;;;;;;;x
Keitaro_opinion_granted_a_jihad_kingdom;Granted a Jihad Kingdom;Accordé un royamume de Jihad;;;;;;;;;;;;x
Keitaro_opinion_granted_a_ghw_kingdom;Granted a Great Holy War Kingdom;Accordé un royaume de Grande Guerre Sainte;;;;;;;;;;;;x
Keitaro_opinion_helped_my_adventure;Helped my Adventure;Aide pour mon aventure;;;;;;;;;;;;x
Keitaro_opinion_prevented_me_from_adventuring;Prevented me from Adventuring;Empêché de continuer mon aventure;;;;;;;;;;;;x
Keitaro_opinion_was_rewarded;Rewarded me;M'a récompensé;;;;;;;;;;;;x
Keitaro_opinion_asked_council_support;Asked Council Support;A demandé le soutien au Conseil;;;;;;;;;;;;x
Keitaro_opinion_spendthrift;Spendthrift;Dépensier;;;;;;;;;;;;x
Keitaro_opinion_ask_claimed_title_from_liege;Asked for a title;A demandé un titre;;;;;;;;;;;;x
Keitaro_opinion_ask_claimed_title_from_liege_grateful;Grateful for the title;Reconnaissant pour le titre;;;;;;;;;;;;x
Keitaro_opinion_terrible_jester;Terrible Jester;Bouffon épouvantable;;;;;;;;;;;;x
Keitaro_opinion_bad_jester;Bad Jester;Mauvais Bouffon;;;;;;;;;;;;x
Keitaro_imprisoned_me_unjustly;Imprisoned Me Unjustly;M'a Emprisonné Injustement;;;;;;;;;;;;x

